genome_id,drug,label
1328381.3,Amikacin,0
1328381.3,Ceftazidime,1
1328381.3,Ciprofloxacin,1
1328381.3,Gentamicin,1
1328381.3,Tigecycline,0
1328382.3,Amikacin,0
1328382.3,Ceftazidime,1
1328382.3,Ciprofloxacin,0
1328382.3,Gentamicin,0
1328382.3,Tigecycline,0
1328383.3,Amikacin,1
1328383.3,Ceftazidime,1
1328383.3,Ciprofloxacin,1
1328383.3,Gentamicin,1
1328383.3,Tigecycline,0
1328384.3,Amikacin,0
1328384.3,Ceftazidime,1
1328384.3,Ciprofloxacin,0
1328384.3,Gentamicin,0
1328384.3,Meropenem,0
1328384.3,Tigecycline,0
1328385.3,Amikacin,0
1328385.3,Ceftazidime,0
1328385.3,Ciprofloxacin,0
1328385.3,Gentamicin,0
1328385.3,Meropenem,0
1328385.3,Tigecycline,0
1328386.3,Amikacin,1
1328386.3,Ceftazidime,1
1328386.3,Ciprofloxacin,1
1328386.3,Gentamicin,0
1328386.3,Tigecycline,0
1328387.3,Amikacin,1
1328387.3,Ceftazidime,1
1328387.3,Ciprofloxacin,1
1328387.3,Gentamicin,0
1328399.3,Meropenem,1
1328401.3,Meropenem,1
1328404.3,Meropenem,1
1328405.3,Meropenem,1
1328407.3,Meropenem,1
1328409.3,Meropenem,1
1328411.3,Meropenem,1
1328413.3,Meropenem,1
1328415.3,Gentamicin,1
1438708.3,Ceftazidime,1
1438708.3,Ciprofloxacin,1
1438708.3,Gentamicin,0
1438708.3,Meropenem,1
1438708.3,Tigecycline,0
1438709.3,Ceftazidime,1
1438709.3,Ciprofloxacin,1
1438709.3,Meropenem,1
1438709.3,Tigecycline,0
1438711.3,Ceftazidime,1
1438711.3,Ciprofloxacin,1
1438711.3,Meropenem,1
1438711.3,Tigecycline,0
1438712.3,Amikacin,1
1438712.3,Ceftazidime,1
1438712.3,Ciprofloxacin,1
1438712.3,Gentamicin,1
1438712.3,Meropenem,1
1438712.3,Tigecycline,0
1438713.3,Amikacin,1
1438713.3,Ceftazidime,1
1438713.3,Ciprofloxacin,1
1438713.3,Meropenem,1
1438713.3,Tigecycline,0
1438714.3,Amikacin,1
1438714.3,Ceftazidime,1
1438714.3,Ciprofloxacin,1
1438714.3,Meropenem,1
1438714.3,Tigecycline,0
1438715.3,Amikacin,1
1438715.3,Ceftazidime,1
1438715.3,Ciprofloxacin,1
1438715.3,Gentamicin,0
1438715.3,Meropenem,1
1438715.3,Tigecycline,0
1438717.3,Amikacin,1
1438717.3,Ceftazidime,1
1438717.3,Ciprofloxacin,1
1438717.3,Gentamicin,1
1438717.3,Meropenem,1
1438718.3,Ceftazidime,1
1438718.3,Ciprofloxacin,1
1438718.3,Meropenem,1
1438718.3,Tigecycline,0
1438719.3,Amikacin,1
1438719.3,Ceftazidime,1
1438719.3,Ciprofloxacin,1
1438719.3,Meropenem,1
1438720.3,Amikacin,1
1438720.3,Ceftazidime,1
1438720.3,Ciprofloxacin,1
1438720.3,Gentamicin,1
1438720.3,Meropenem,1
1438720.3,Tigecycline,0
1438722.3,Ceftazidime,1
1438722.3,Ciprofloxacin,1
1438722.3,Meropenem,1
1438723.3,Ceftazidime,1
1438723.3,Ciprofloxacin,1
1438723.3,Meropenem,1
1438723.3,Tigecycline,0
1438724.3,Ceftazidime,1
1438724.3,Ciprofloxacin,1
1438724.3,Meropenem,1
1438724.3,Tigecycline,1
1438725.3,Ceftazidime,1
1438725.3,Ciprofloxacin,1
1438725.3,Gentamicin,1
1438725.3,Meropenem,1
1438725.3,Tigecycline,0
1438726.3,Ceftazidime,1
1438726.3,Ciprofloxacin,1
1438726.3,Meropenem,1
1438726.3,Tigecycline,0
1438727.3,Amikacin,0
1438727.3,Ceftazidime,1
1438727.3,Ciprofloxacin,1
1438727.3,Gentamicin,0
1438727.3,Meropenem,1
1438727.3,Tigecycline,0
1438728.3,Ceftazidime,1
1438728.3,Ciprofloxacin,1
1438728.3,Meropenem,1
1438728.3,Tigecycline,0
1438729.3,Ceftazidime,1
1438729.3,Ciprofloxacin,1
1438729.3,Gentamicin,0
1438729.3,Meropenem,1
1438729.3,Tigecycline,0
1438730.3,Amikacin,0
1438730.3,Ceftazidime,1
1438730.3,Ciprofloxacin,1
1438730.3,Gentamicin,1
1438730.3,Meropenem,1
1438730.3,Tigecycline,1
1438731.3,Ceftazidime,1
1438731.3,Ciprofloxacin,1
1438731.3,Gentamicin,0
1438731.3,Meropenem,1
1438732.3,Ceftazidime,1
1438732.3,Ciprofloxacin,1
1438732.3,Meropenem,1
1438732.3,Tigecycline,0
1438733.3,Ceftazidime,1
1438733.3,Ciprofloxacin,1
1438733.3,Meropenem,1
1438733.3,Tigecycline,0
1438734.3,Amikacin,1
1438734.3,Ceftazidime,1
1438734.3,Ciprofloxacin,1
1438734.3,Gentamicin,1
1438734.3,Meropenem,1
1438734.3,Tigecycline,0
1438735.3,Ceftazidime,1
1438735.3,Ciprofloxacin,1
1438735.3,Meropenem,1
1438735.3,Tigecycline,0
1438736.3,Ceftazidime,1
1438736.3,Ciprofloxacin,1
1438736.3,Meropenem,1
1438736.3,Tigecycline,0
1438737.3,Ceftazidime,1
1438737.3,Ciprofloxacin,1
1438737.3,Gentamicin,0
1438737.3,Meropenem,1
1438737.3,Tigecycline,0
1438738.3,Amikacin,1
1438738.3,Ceftazidime,1
1438738.3,Ciprofloxacin,1
1438738.3,Gentamicin,1
1438738.3,Meropenem,1
1438738.3,Tigecycline,1
1438739.3,Ceftazidime,1
1438739.3,Ciprofloxacin,1
1438739.3,Meropenem,1
1438739.3,Tigecycline,0
1438740.3,Amikacin,1
1438740.3,Ceftazidime,1
1438740.3,Ciprofloxacin,1
1438740.3,Meropenem,1
1438740.3,Tigecycline,0
1438741.3,Amikacin,1
1438741.3,Ceftazidime,1
